lat(°),long(°),height(m),time(s) 
-20.893559390679002,55.56789496913552,44.20000076293945,0
-20.89355343952775,55.56809085421264,44.400001525878906,0
-20.89355201460421,55.56815220974386,44.599998474121094,0
-20.89353919029236,55.56836494244635,44.79999923706055,0
-20.89359308592975,55.56856560520828,44.599998474121094,0
-20.89361010119319,55.568779008463025,44.400001525878906,0
-20.893648574128747,55.56898151524365,44.79999923706055,0
-20.893691573292017,55.56917840614915,44.79999923706055,0
-20.893687130883336,55.56937403976917,45.400001525878906,0
-20.893662739545107,55.56956682354212,45.20000076293945,0
-20.893621752038598,55.56965097784996,45.599998474121094,0
-20.893565760925412,55.5698424205184,45.79999923706055,0
-20.893513625487685,55.570042580366135,46.0,0
-20.8934782538563,55.570245422422886,46.79999923706055,0
-20.893506752327085,55.570336785167456,46.79999923706055,0
-20.89355142787099,55.57052655145526,47.20000076293945,0
-20.893587302416563,55.570726208388805,47.400001525878906,0
-20.893649579957128,55.57091169990599,47.400001525878906,0
-20.893711438402534,55.57107481174171,47.599998474121094,0
-20.893798526376486,55.5712515860796,48.0,0
-20.893850410357118,55.57143548503518,48.599998474121094,0
-20.893866838887334,55.57152039371431,48.79999923706055,0
-20.893914364278316,55.571710243821144,49.400001525878906,0
-20.893969517201185,55.5719144269824,49.0,0
-20.894021904096007,55.57212196290493,48.599998474121094,0
-20.894064903259277,55.57234039530158,48.20000076293945,0
-20.894089210778475,55.57254105806351,48.0,0
-20.894103795289993,55.572645077481866,47.599998474121094,0
-20.89412801899016,55.572840040549636,47.400001525878906,0
-20.894178561866283,55.573049671947956,47.0,0
-20.894203707575798,55.573242623358965,46.599998474121094,0
-20.894209491088986,55.57326273992658,46.599998474121094,0
-20.89425508864224,55.57345435023308,46.20000076293945,0
-20.89420421048999,55.57363866828382,46.0,0
-20.89426531456411,55.57382105849683,46.400001525878906,0
-20.894402274861932,55.57395592331886,46.79999923706055,0
-20.894559351727366,55.57408852502704,46.20000076293945,0
-20.894685750827193,55.57421173900366,46.0,0
-20.894528590142727,55.57412012480199,46.0,0
-20.89441535063088,55.57396464049816,46.20000076293945,0
-20.89427663013339,55.573815777897835,46.400001525878906,0
-20.894187530502677,55.57363917119801,45.79999923706055,0
-20.89422675780952,55.57344957254827,46.0,0
-20.89421837590635,55.573246981948614,46.20000076293945,0
-20.894194236025214,55.5730421282351,46.79999923706055,0
-20.894119385629892,55.57284322567284,47.0,0
-20.89405970647931,55.57265656068921,47.599998474121094,0
-20.894038416445255,55.572567796334624,47.599998474121094,0
-20.89397555217147,55.57236621156335,47.79999923706055,0
-20.893924590200186,55.57217217050493,48.20000076293945,0
-20.893886871635914,55.5720457714051,48.599998474121094,0
-20.89383289217949,55.571853406727314,48.79999923706055,0
-20.893778577446938,55.57164846919477,48.20000076293945,0
-20.893745804205537,55.57150815613568,47.599998474121094,0
-20.893692998215556,55.571320904418826,47.20000076293945,0
-20.893645137548447,55.5711255222559,46.79999923706055,0
-20.893587050959468,55.5709320679307,46.79999923706055,0
-20.89354069903493,55.57073366828263,46.79999923706055,0
-20.893512032926083,55.5706159863621,46.599998474121094,0
-20.893439948558807,55.57043326087296,46.0,0
-20.89343567378819,55.57023100554943,45.79999923706055,0
-20.893449755385518,55.57013209909201,45.400001525878906,0
-20.89348495937884,55.56994283571839,45.20000076293945,0
-20.893527371808887,55.56975658982992,44.79999923706055,0
-20.893555032089353,55.56954628787935,44.599998474121094,0
-20.893561569973826,55.5695210583508,44.400001525878906,0
-20.89362275786698,55.56933766230941,44.0,0
-20.8936423715204,55.56914420798421,43.599998474121094,0
-20.89361211284995,55.56895025074482,43.599998474121094,0
-20.893578585237265,55.56875478476286,43.400001525878906,0
-20.893524270504713,55.56854289025068,43.599998474121094,0
-20.893478924408555,55.568350441753864,43.79999923706055,0
-20.893485127016902,55.56815589778125,43.20000076293945,0
-20.893504237756133,55.56796319782734,43.0,0
-20.893492503091693,55.56776421144605,42.79999923706055,0
-20.893467273563147,55.56760998442769,42.400001525878906,0
-20.893459478393197,55.56740269996226,42.0,0
-20.893438942730427,55.567189464345574,41.79999923706055,0
-20.893427627161145,55.566969607025385,41.400001525878906,0
-20.89339166879654,55.56676039472222,41.20000076293945,0
-20.89330969378352,55.56657683104277,41.20000076293945,0
-20.893215145915747,55.56639779359102,41.0,0
-20.89311959221959,55.56622722186148,41.20000076293945,0
